Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
RT @BabyBoss87: Even watching on tv I get chills! #GARTHatND,Mon Dec 03 02:30:19 +0000 2018,0.0,0.0,1.0,0.0,11
RT @LungFroRRT: Watching the absolute best ever!! The legend!! #GARTHatND,Mon Dec 03 02:23:27 +0000 2018,0.7482,0.374,0.626,0.0,12
"RT @garthbrooks: My favorite time is when it just comes down to the song and 85,000 voices! #AnsweredPrayers!!! love, g #GARTHatND https://…",Mon Dec 03 02:11:47 +0000 2018,0.8544,0.306,0.694,0.0,13
@paulwhittington @garthbrooks 👏👏👏👏👏,Mon Dec 03 02:01:44 +0000 2018,0.0,0.0,1.0,0.0,14
@amandahynds629 @BobSeger @garthbrooks 🙌🏼,Mon Dec 03 01:57:15 +0000 2018,0.0,0.0,1.0,0.0,15
Give it up for #GARTHAtND! What's been your favorite moment of the show so far? https://t.co/VUHHUL1sJc,Mon Dec 03 01:55:20 +0000 2018,0.5093,0.18,0.82,0.0,16
"RT @MasterMediaMind: To all performers, please take notes from @garthbrooks. This is how you entertain a crowd and put on a concert! 👏🏽❤️🤠#…",Mon Dec 03 01:44:59 +0000 2018,0.5983,0.205,0.795,0.0,17
"RT @garthbrooks: If YOU are watching the @NotreDame special with us, tweet me using #GARTHatND!!! If YOU were there, let’s see YOUR picture…",Mon Dec 03 01:28:12 +0000 2018,0.5538,0.14,0.86,0.0,18
"RT @garthbrooks: We’re still watching @60minutes where we’re at!! But,  as soon as #GARTHatND starts here, I will be tweeting with YOU!!! T…",Mon Dec 03 01:12:59 +0000 2018,0.0,0.0,1.0,0.0,19
RT @hamilton3889: I’ve seen Garth live 3 times and I have goosebumps watching him perform on TV rn 😅 so excited!! #GarthatND,Mon Dec 03 01:08:51 +0000 2018,0.7352,0.228,0.772,0.0,20
"Mark your calendars! Check out the time slots for new and returning comedies in 2019, including the premiere of… https://t.co/ovV8t5Zrhc",Wed Nov 28 17:56:05 +0000 2018,0.4574,0.136,0.864,0.0,21
"RT @ManWithAPlan: Got any plans on Monday, Feb. 4 at 8:30/7:30c? Now you do! Man With A Plan returns for Season 3! https://t.co/ApaDIkEaO3",Wed Nov 28 17:53:34 +0000 2018,0.0,0.0,1.0,0.0,22
"RT @FamCBS: This is one birthday you don't want to forget: #Fam premieres Thursday, January 10 at 9:30/8:30c on @CBS and @CBSAllAccess! htt…",Wed Nov 28 17:38:19 +0000 2018,0.1867,0.081,0.868,0.051,23
"@AndySwift Clear eyes, full horns, can't lose.",Wed Nov 28 04:19:14 +0000 2018,0.5938,0.493,0.507,0.0,24
"It’s not the holidays without him. #Rudolph the Red-Nosed Reindeer returns to CBS tonight at 8pm/7c, only on CBS.… https://t.co/XH6VPo7yrt",Tue Nov 27 21:00:00 +0000 2018,-0.2924,0.0,0.897,0.103,25
It's going to be a happy new year with all the new and returning reality programming premiering on CBS in 2019. Che… https://t.co/whYBoAfEyn,Tue Nov 27 17:25:08 +0000 2018,0.5719,0.15,0.85,0.0,26
Less than ONE week until country superstar @garthbrooks hits the stage for #GarthAtND! https://t.co/jcbJ1Xhcaw,Mon Nov 26 23:30:00 +0000 2018,0.0,0.0,1.0,0.0,27
@TMFChrisHill Color us intrigued. Or claymation us intrigued. https://t.co/siU1ribSPI,Mon Nov 26 22:48:13 +0000 2018,0.0,0.0,1.0,0.0,28
Get on your feet for this exciting news. GRAMMY® Award-winning singer-songwriter and actress @GloriaEstefan is host… https://t.co/OTkBa0ECXB,Mon Nov 26 19:49:21 +0000 2018,0.5789,0.19,0.81,0.0,29
LAST CHANCE to try 1 month of @CBSAllAccess for free. Use code: STREAMFREE https://t.co/q6yDZj5nGb https://t.co/xVhARlVRQP,Mon Nov 26 17:44:34 +0000 2018,0.7213,0.335,0.665,0.0,30
"Due to late #NFL game #CBS Sunday shows delayed ONLY in East/Central time zones. New Start Times:
#60Minutes 7:33pm… https://t.co/iH09babk5N",Mon Nov 26 00:39:51 +0000 2018,-0.2263,0.0,0.909,0.091,31
We want to know how you play your reindeer games. Tell or show us how you’ll watch holiday tradition #Rudolph the R… https://t.co/yVMWLo5Hse,Sun Nov 25 17:00:01 +0000 2018,0.6597,0.242,0.758,0.0,32
"All the action of your local teams on the gridiron, in your living room. It's the NFL on CBS and @CBSAllAccess. 🏈📺… https://t.co/8n6gKrl6vy",Sun Nov 25 15:00:01 +0000 2018,0.0,0.0,1.0,0.0,33
"When the holidays have your head going in every direction, CBS is always here for you. Have a holly, jolly, bobbly… https://t.co/WMxJkfDtfy",Sun Nov 25 00:00:00 +0000 2018,0.7096,0.237,0.763,0.0,34
"Sure, he sneaks down your chimney and leaves gifts under your tree every year, but what do you really know about hi… https://t.co/PrSgbSpdlk",Sat Nov 24 20:00:00 +0000 2018,0.1655,0.07,0.93,0.0,35
"#RobbieTheReindeer returns to CBS with two animated specials ""Hooves of Fire"" and ""Legend of the Lost Tribe."" Featu… https://t.co/93n3PdJUX9",Sat Nov 24 17:00:00 +0000 2018,-0.5719,0.0,0.783,0.217,36
"DVR ALERT for Viewers in select EAST/CENTRAL Time Zones, please note *possible* football delay for CBS shows on Sun… https://t.co/cjVtGlZtzM",Sat Nov 24 00:33:07 +0000 2018,0.4466,0.213,0.693,0.094,37
Stream hit shows &amp; more when you try 1 month FREE of @CBSAllAccess this Black Friday. Use code STREAMFREE.… https://t.co/smsX3i99tx,Fri Nov 23 23:00:00 +0000 2018,0.6166,0.183,0.817,0.0,38
"It’s that magical time of year when Frosty comes back to life with two holiday specials, #FrostyTheSnowman and Fros… https://t.co/v8W2h4dK5W",Fri Nov 23 17:00:01 +0000 2018,0.4019,0.124,0.876,0.0,39
